file,section_type,json_path,setting,english,spanish,status
templates/article.json,main-article,sections.main.blocks.share.settings,share_label,Share,Compartir,translated
templates/article.json,fgp-related-articles,sections.fgp_related_articles.settings,heading,More from our Blog,Más de nuestro blog,translated
templates/article.json,fgp-subfooter,sections.fgp_subfooter_article.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/article.json,fgp-subfooter,sections.fgp_subfooter_article.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,eyebrow,WELLNESS TIPS & UPDATES,CONSEJOS DE BIENESTAR Y NOVEDADES,translated
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,heading,Blog,Blog,translated
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,subtext,Science-backed tips to help you feel good from the inside out.,Consejos respaldados por la ciencia para ayudarte a sentirte bien de adentro hacia afuera.,translated
templates/blog.json,fgp-subfooter,sections.fgp_subfooter_blog.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/blog.json,fgp-subfooter,sections.fgp_subfooter_blog.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_9LcLEX.settings,label,Stress,Estrés,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_Czacg9.settings,label,Gluten intolerance,Intolerancia al gluten,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_84T8f3.settings,label,Lactose intolerance,Intolerancia a la lactosa,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_8DJzUP.settings,label,Constipation or Diarrhea,Estreñimiento o diarrea,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_hijUjK.settings,label,Irritable Bowel Syndrome,Síndrome de intestino irritable,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_en4tU4.settings,label,Low defenses,Bajas defensas,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.settings,section_label,As seen in,Como se vio en,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_Mpn7K6.settings,logo_alt,Amazon Partner,Socio Amazon,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_QmkzCL.settings,logo_alt,Clinica Biblica Partner,Socio Clínica Bíblica,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_ezYUPA.settings,logo_alt,Partner,Socio,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_wcx4TA.settings,logo_alt,Partner,Socio,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_CmkGqk.settings,logo_alt,Partner,Socio,translated
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-0.settings,heading,<strong>Is it a gut feeling or</strong>,<strong>¿Es una simple sensación o</strong>,translated
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-1.settings,text,<h2>prebiótico<br/>probiótico<br/>postbiótico</h2>,<h2>prebiótico<br/>probiótico<br/>postbiótico</h2>,translated
