file,section_type,json_path,setting,spanish_default,english_translation,status
templates/article.json,main-article,sections.main.blocks.share.settings,share_label,Compartir,Share,translated
templates/article.json,fgp-related-articles,sections.fgp_related_articles.settings,heading,Más de nuestro blog,More from our Blog,translated
templates/article.json,fgp-subfooter,sections.fgp_subfooter_article.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/article.json,fgp-subfooter,sections.fgp_subfooter_article.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,eyebrow,CONSEJOS DE BIENESTAR Y NOVEDADES,WELLNESS TIPS & UPDATES,translated
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,heading,Blog,Blog,identical
templates/blog.json,fgp-blog-hero,sections.fgp_blog_hero.settings,subtext,Consejos respaldados por la ciencia para ayudarte a sentirte bien de adentro hacia afuera.,Science-backed tips to help you feel good from the inside out.,translated
templates/blog.json,fgp-subfooter,sections.fgp_subfooter_blog.settings,hashtag,#FeelGoodWithin,#FeelGoodWithin,identical
templates/blog.json,fgp-subfooter,sections.fgp_subfooter_blog.settings,ig_handle,feel.goodpharma,feel.goodpharma,identical
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_9LcLEX.settings,label,Estrés,Stress,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_Czacg9.settings,label,Intolerancia al gluten,Gluten intolerance,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_84T8f3.settings,label,Intolerancia a la lactosa,Lactose intolerance,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_8DJzUP.settings,label,Estreñimiento o diarrea,Constipation or Diarrhea,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_hijUjK.settings,label,Síndrome de intestino irritable,Irritable Bowel Syndrome,translated
templates/index.json,fgp-hero-multi,sections.fgp_hero_multi_Qt6XNd.blocks.symptom_en4tU4.settings,label,Bajas defensas,Low defenses,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.settings,section_label,Como se vio en,As seen in,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_Mpn7K6.settings,logo_alt,Socio Amazon,Amazon Partner,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_QmkzCL.settings,logo_alt,Socio Clínica Bíblica,Clinica Biblica Partner,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_ezYUPA.settings,logo_alt,Socio,Partner,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_wcx4TA.settings,logo_alt,Socio,Partner,translated
templates/index.json,fgp-logo-carousel,sections.fgp_logo_carousel_jRLBaA.blocks.logo_CmkGqk.settings,logo_alt,Socio,Partner,translated
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-0.settings,heading,<strong>¿Es una simple sensación o</strong>,<strong>Is it a gut feeling or</strong>,translated
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-1.settings,text,<h2>prebiótico<br/>probiótico<br/>postbiótico</h2>,<h2>prebiótico<br/>probiótico<br/>postbiótico</h2>,identical
templates/index.json,image-with-text,sections.b8b0c886-8d85-4099-b9f2-61e11d876167.blocks.template--18478760722753__b8b0c886-8d85-4099-b9f2-61e11d876167-16798913418e874d38-2.settings,button_label,Comprar,Comprar,identical
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,eyebrow,ENZIMAS DIGESTIVAS,DIGESTIVE ENZYMES,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,title,SYNBIOTIC+,SYNBIOTIC+,identical
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,description,<p>Formulación diseñada para brindar <strong>apoyo digestivo e inmunológico y equilibrar la microbiota intestinal.</strong></p>,<p>Formulation designed to provide <strong>digestive and immune support and balance the gut microbiome.</strong></p>,translated
templates/index.json,fgp-synbiotic-feature,sections.fgp_synbiotic_feature_jkwUPt.settings,cta_label,Comprar Synbiotic+,Shop Synbiotic+,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_1,Intolerancia al gluten,Gluten intolerance,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_2,Intolerancia a la lactosa,Lactose intolerance,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_3,Estreñimiento o diarrea,Constipation or diarrhea,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_4,Desequilibrio intestinal por antibióticos,Intestinal imbalance due to antibiotics,translated
templates/index.json,fgp-goodbye-symptoms,sections.fgp_goodbye_symptoms_ULcw7q.settings,label_5,Bajas defensas,Low defenses,translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,founder_name,"Dra. Katherine Jiménez, Fundadora","Dr. Katherine Jiménez, Founder",translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,quote,"Fundé Feel Good Pharma para ayudar a las personas a volver a sentirse verdaderamente bien, de adentro hacia afuera. Cada fórmula se desarrolla con precisión científica e ingredientes innovadores que apoyan el equilibrio natural del cuerpo, para que puedas sentirte al máximo cada día.","I founded Feel Good Pharma to help people truly feel good again - from the inside out. Each formula is developed with scientific precision and innovative ingredients that support the body's natural balance, so you can feel your best every day.",translated
templates/index.json,fgp-founder-quote,sections.fgp_founder_quote_q3JAYQ.settings,cta_label,Ver más,View more,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,badge_subtext,2 cápsulas · 3 veces al día,2 capsules · 3 times a day,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,eyebrow,NIÑOS,KIDS,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,title,PROBIÓTICOS PARA NIÑOS,KIDS PROBIOTICS,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,description,"<p>Formulación especialmente diseñada para <strong>favorecer la salud digestiva, fortalecer la inmunidad y equilibrar la microbiota intestinal</strong> de los más pequeños.</p>","<p>Formulation specially designed to <strong>support digestive health, strengthen immunity, and balance the gut microbiome</strong> of your little ones.</p>",translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,cta_label,Comprar Kids 60,Shop Kids 60,translated
templates/index.json,fgp-kids-feature,sections.fgp_kids_feature_main.settings,cta2_label,Comprar Kids 30,Shop Kids 30,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,heading,"Con PROBIÓTICOS PARA NIÑOS, tu hijo nunca más tendrá que sufrir de:","With KIDS PROBIOTICS, your child will never have to suffer from:",translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_1,Estreñimiento o diarrea,Constipation or diarrhea,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_2,Desequilibrio intestinal por antibióticos,Intestinal imbalance due to antibiotics,translated
templates/index.json,fgp-kids-symptoms,sections.fgp_kids_symptoms_main.settings,label_3,Bajas defensas,Low defenses,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.settings,section_label,Productos,Products,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,title,SYNBIOTIC +,SYNBIOTIC +,identical
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,subtitle,"Prebiótico, probiótico, postbiótico y enzimas","Prebiotic, probiotic, postbiotic and enzymes",translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_1.settings,cta_label,Comprar,Shop,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,title,PROBIÓTICOS PARA NIÑOS,KIDS PROBIOTICS,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,subtitle,Fórmula 4 en 1 para los más pequeños,4 in 1 formula for your little ones,translated
templates/index.json,fgp-video-cards,sections.fgp_video_cards_main.blocks.vcard_2.settings,cta_label,Comprar,Shop,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.settings,aria_label,Beneficios del producto,Product benefits,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_CyxFwm.settings,label,Probióticos a base de esporas,Spore based probiotics,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_yaLXzU.settings,label,Ingredientes de origen vegetal,Plant Based ingredients,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_wJkJVN.settings,label,Repone bacterias beneficiosas®,Replenishes Beneficial Bacteria®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_8QpQbU.settings,label,Fortalece la barrera intestinal®,Strengthens Gut Barrier®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_UFd4ai.settings,label,Mejora la absorción de nutrientes®,Improves Nutrient Absorption®,translated
templates/index.json,fgp-icon-strip,sections.fgp_icon_strip_Ya38Fq.blocks.item_cnazY9.settings,label,Sin OGM,Non GMO,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.settings,cta_label,Comprar ahora,Shop Now,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,eyebrow,ENZIMAS DIGESTIVAS,DIGESTIVE ENZYMES,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,placeholder_title,Synbiotic+,Synbiotic+,identical
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_1.settings,cta_label,Comprar Synbiotic+,Shop Synbiotic+,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,eyebrow,NIÑOS,KIDS,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,placeholder_title,Probióticos para Niños,Kids Probiotics,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_2.settings,cta_label,Comprar Probióticos para Niños,Shop Kids Probiotics,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,eyebrow,ENZIMAS DIGESTIVAS,DIGESTIVE ENZYMES,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,placeholder_title,Enzimas digestivas,Digestive Enzymes,translated
templates/index.json,fgp-products-grid,sections.fgp_products_grid_main.blocks.product_3.settings,cta_label,Comprar enzimas,Shop Enzymes,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.settings,eyebrow,RESPALDADO POR PROFESIONALES,TRUSTED BY PROFESSIONALS,translated
templates/index.json,fgp-doctor-testimonials,sections.fgp_doctor_testimonials_main.settings,heading,Recomendado por médicos,Recommended by Doctors,translated
